Название	Год	Ссылка	Оценка
Восстание планеты обезьян	2011	http://www.kinopoisk.ru/film/463738/	8
Линкольн для адвоката	2011	http://www.kinopoisk.ru/film/461939/	8
Джиперс Криперс	2001	http://www.kinopoisk.ru/film/7316/	8
Хоббит: Нежданное путешествие	2012	http://www.kinopoisk.ru/film/278522/	8
Пароль «Рыба-меч»	2001	http://www.kinopoisk.ru/film/849/	8
Стиратель	1996	http://www.kinopoisk.ru/film/6018/	8
Ворошиловский стрелок	1999	http://www.kinopoisk.ru/film/41442/	8
К-911	1999	http://www.kinopoisk.ru/film/80269/	8
Пришельцы 2: Коридоры времени	1998	http://www.kinopoisk.ru/film/14289/	8
Судья Дредд	1995	http://www.kinopoisk.ru/film/5927/	8
300 спартанцев: Расцвет империи	2013	http://www.kinopoisk.ru/film/418839/	8
Бойцовский клуб	1999	http://www.kinopoisk.ru/film/361/	8
Сумерки	2008	http://www.kinopoisk.ru/film/401177/	8
Белая мгла	2009	http://www.kinopoisk.ru/film/80309/	8
Индиана Джонс и Королевство хрустального черепа	2008	https://www.kinopoisk.ru/film/38904/	8
Вспомнить всё	2012	http://www.kinopoisk.ru/film/453374/	8
Таинственная река	2003	http://www.kinopoisk.ru/film/3730/	8
Час пик	1998	http://www.kinopoisk.ru/film/6345/	8
Ограбление по-французски	2003	http://www.kinopoisk.ru/film/4902/	8
Один дома 3	1997	http://www.kinopoisk.ru/film/20789/	8
Крепкий орешек	1988	http://www.kinopoisk.ru/film/471/	8
Высокий блондин в черном ботинке	1972	http://www.kinopoisk.ru/film/70934/	8
Обитель зла: Вырождение	2008	http://www.kinopoisk.ru/film/405450/	8
Ягуар	1996	http://www.kinopoisk.ru/film/14292/	8
Миссия невыполнима: Протокол Фантом	2011	http://www.kinopoisk.ru/film/472362/	8
127 часов	2010	http://www.kinopoisk.ru/film/484878/	8
Отступники	2006	http://www.kinopoisk.ru/film/81314/	8
Судный день	2008	http://www.kinopoisk.ru/film/220594/	8
Поддубный	2014	https://www.kinopoisk.ru/film/653695/	8
Парк Юрского периода	1993	http://www.kinopoisk.ru/film/7121/	8
Гонщик	2001	http://www.kinopoisk.ru/film/4907/	8
Рыбка Поньо на утесе	2008	http://www.kinopoisk.ru/film/261127/	8
В осаде	1992	http://www.kinopoisk.ru/film/4053/	8
Телепорт	2008	http://www.kinopoisk.ru/film/220589/	8
Обитель зла: Возмездие	2012	http://www.kinopoisk.ru/film/581493/	8
Люди в черном 2	2002	http://www.kinopoisk.ru/film/6379/	8
Need for Speed: Жажда скорости	2014	http://www.kinopoisk.ru/film/678975/	8
Дэнни Цепной пес	2005	http://www.kinopoisk.ru/film/6059/	8
Властелин колец: Братство кольца	2001	http://www.kinopoisk.ru/film/328/	8
Ларго Винч: Начало	2008	http://www.kinopoisk.ru/film/274730/	8
300 спартанцев	2007	http://www.kinopoisk.ru/film/81924/	8
Отпетые мошенники	1988	http://www.kinopoisk.ru/film/9208/	8
Последний самурай	2003	http://www.kinopoisk.ru/film/6764/	8
Неизвестный	2011	http://www.kinopoisk.ru/film/463135/	8
Невероятные приключения итальянцев в России	1973	http://www.kinopoisk.ru/film/46421/	8
Без лица	1997	http://www.kinopoisk.ru/film/4606/	8
Дивергент, глава 2: Инсургент	2015	http://www.kinopoisk.ru/film/762225/	8
Первый после Бога	2005	http://www.kinopoisk.ru/film/93006/	8
Звездный десант	1997	http://www.kinopoisk.ru/film/6025/	8
Пираты Карибского моря 2: Сундук мертвеца	2006	https://www.kinopoisk.ru/film/63991/	8
Немыслимое	2009	http://www.kinopoisk.ru/film/430519/	8
Живой	2006	http://www.kinopoisk.ru/film/256503/	8
Три икса 2: Новый уровень	2005	http://www.kinopoisk.ru/film/9523/	8
Терминатор: Генезис	2015	http://www.kinopoisk.ru/film/436225/	8
Центурион	2010	http://www.kinopoisk.ru/film/437833/	8
Красотка	1990	http://www.kinopoisk.ru/film/8125/	8
Дрожь земли 3	2001	http://www.kinopoisk.ru/film/88690/	8
Турнир на выживание	2009	http://www.kinopoisk.ru/film/276600/	8
10 000 лет до н.э.	2008	https://www.kinopoisk.ru/film/102611/	8
Тринадцатый этаж	1999	http://www.kinopoisk.ru/film/1086/	8
Индиго	2008	http://www.kinopoisk.ru/film/367686/	8
Джанго освобожденный	2012	http://www.kinopoisk.ru/film/586397/	8
